title,short_description,description,additional_info
Jackfruit Dried,Dehydrated Raw Jackfruit (Kerala),"Do not compromise, get it fresh and as you wish!Can be milled on your milling preference (select fineness while ordering)Not prepacked, milled upon orderType: &nbsp;Jackfruit dried","&nbsp;We use washed and dried grains ONLY for milling (after 3 step cleaning process)Washed and dried grains stored using Hermetic Technology(Non-pesticide storage technique)Milled ONLY on order, NOT milled and pre-filled.Sustainable packing (Zero Plastic Packaging)48 hours delivery across Bangalore"
Coconut Oil,Wood Pressed / Cold Pressed Oil,"Cold pressed, non-refined edible oil made from first quality dried coconut.Non-Refined OilNo Added PreservativesNo Added Taste/ Flavour EnhancersNo Added Colours","&nbsp;Coconut Source : Kuttiyadi/Koyilandi (Kozhikode- Kerala)Coconut Drying: Dehydration method to preserve natural colour and flavourMilling: Wood pressing using Marachekku (Vaaka Tree Wood)Filtering: Cloth filtered to remove residues"
Ground Nut Oil,Wood Pressed / Cold Pressed,"Cold pressed oil made using fine quality groundnut seeds.Non-Refined OilNo Added PreservativesNo Added Taste/ Flavour EnhancersNo Added ColoursSeed Source: Chintamani(Karnataka)","&nbsp;Crafted using Marachekku /wooden press machine.Manufacturing process minimizes heat generation, preserving natural antioxidants and healthy fatty acids.Premium-quality seeds directly sourced from farmers.Filtration with cloth to eliminate residues or impurities.Maintaining quality by avoiding the use of inexpensive edible oils or inorganic additives to boost volume or reduce costs.Chemical preservatives free"
Ragi (Finger Millet),Whole Millet, Atta,"Do not compromise, get it fresh and as you wish!Can be milled on your milling preference (select fineness while ordering)Not prepacked, milled upon orderGrain Type: &nbsp;Natti (non-hybrid) ragiGrain Origin: Karnataka","&nbsp;We use washed and dried grains ONLY for milling (after 3 step cleaning process)Washed and dried grains stored using Hermetic Technology(Non-pesticide storage technique)Milled with husk and not sieved (Full Fiber)Milled ONLY on order, NOT milled and pre-filled.Sustainable packing (Zero Plastic Packaging)48 hours delivery across Bangalore"
Sesame Oil (Brown Gingelly Seed),Wood Pressed / Cold Pressed,"Cold pressed, non-refined edible oil made from first quality dried seeds.&nbsp;Non-Refined Oil&nbsp;No Added Preservatives&nbsp;No Added Taste/ Flavour Enhancers&nbsp;No Added Colours &nbsp;Seed Source : Erode (Tamilnadu)Seed Drying : Sun Dried to preserve natural colour and flavourAdd-On: Palm jaggery added during milling","Crafted using Marachekku /wooden press machine.Manufacturing process minimizes heat generation, preserving natural antioxidants and healthy fatty acids.Premium-quality seeds directly sourced from farmers.Filtration with cloth to eliminate residues or impurities.Maintaining quality by avoiding the use of inexpensive edible oils or inorganic additives to boost volume or reduce costs.Chemical preservatives free"
Mustard Oil (Black Seed),Wood Pressed / Cold Pressed,"Cold pressed oil made from fine quality, Sortex black mustard seeds.&nbsp;Non-Refined OilNo Added PreservativesNo Added Taste/ Flavour EnhancersNo Added ColoursSeed Source: Ratlam (MP)Add-On: Palm jaggery added during milling","Filtering : Cloth filtered to remove seed residueCrafted using Marachekku(Vaaka Tree Wood) /wooden press machine.Manufacturing process minimizes heat generation, preserving natural antioxidants and healthy fatty acids.Premium-quality seeds directly sourced from farmers.Filtration with cloth to eliminate residues or impurities.Maintaining quality by avoiding the use of inexpensive edible oils or inorganic additives to boost volume or reduce costs.Chemical preservatives free"
Cow Ghee ( Pure Cow Ghee ),Premium flavourful clarified butter,"At Freshivores, we take pride in offering Pure Cow Ghee that is crafted with the utmost care and dedication. Our ghee is a testament to traditional methods, free from any adulterants, artificial colors, or additives. We believe in delivering only the purest form of ghee, just as nature intended.","&nbsp;&nbsp;Our ghee undergoes strict testing under FSSAI guidelines to ensure it is free from any contaminants and maintains its purity. These rigorous checks guarantee that our ghee is 100% natural, with no hidden additives or chemicals, giving you complete peace of mind."
Extra Virgin Coconut Oil,Hot Processed Oil (Urukku Velichenna),"Extra Virgin Coconut Oil is made from Fresh Coconut milk using hot processing method.Fresh coconut milk is boiled in bronze vessel (URULI) for longer time to extract the oil.No added flavors, preservatives, coloring agents or taste enhancers. Pure Oil, as it is.&nbsp;&nbsp;","&nbsp;Oil is excellent for body massage, hair and skin.It is a baby friendly product, for baby massage .Shall be used for medicinal purpose, as prescribed by doctor (external and internal)Edible Oil shall be used for cooking.Prepared in traditional way, not factory produced.Prepared from first quality Kuttiyadi(Calicut) coconut."
Fish Curry Masala,Alleppey Meen Curry,"Masala made with first quality ingredients.IDEAL FOR FISH CURRY RECIPES, shall be used for FISH ROASTRoasted and milled in small batches.Flavour-lock sealed packingGlass bottle for better storage","&nbsp;100% Spice powder as per ingredient list on label.Zero add-onsZero added flavouring agentsZero added food colourZero added preservatives"
Fish Fry Masala,Alleppey Meen Fry,"Masala made with first quality ingredients.IDEAL FOR FISH FRY &amp; ROASTRoasted and milled in small batches.Flavour-lock sealed packingGlass bottle for better storage","&nbsp;100% Spice powder as per ingredient list on label.Zero add-onsZero added flavouring agentsZero added food colourZero added preservatives&nbsp;"
Punjabi PISI Wheat Flour,Milled To Order Atta ( Washed & Dried Whole Wheat),"Do not compromise, get it fresh and as you wish!Can be milled on your milling preference (select fineness while ordering)Not prepacked, milled upon orderWheat Type: &nbsp;Premium Punjabi PISI WheatWheat Origin: Punjab","We use washed and dried grains ONLY for milling (after 3 step cleaning process)Washed and dried grains stored using Hermetic Technology(Non-pesticide storage technique)Milled with husk and not sieved (Full Fiber)Milled ONLY on order, NOT milled and pre-packed.Every order is “milled individually”. Not bulk milled. Milled as you wish and as you like.Sustainable packing (Zero Plastic Packaging)"
Rajwadi Lokwan Wheat Flour,Milled To Order Atta ( Washed & Dried Whole Wheat),"Do not compromise, get it fresh and as you wish!Can be milled on your milling preference (select fineness while ordering)Not prepacked, milled upon orderWheat Type: &nbsp;Premium MP Lokwan WheatWheat Origin: Madhya Pradesh","&nbsp;We use washed and dried grains ONLY for milling (after 3 step cleaning process)Washed and dried grains stored using Hermetic Technology(Non-pesticide storage technique)Milled with husk and not sieved (Full Fiber)Milled ONLY on order, NOT milled and pre-filled.Sustainable packing (Zero Plastic Packaging)"
Travancore Sambar Powder,Travancore Sambar Masala,"Masala made with first quality ingredients.SAMBAR IN KERALA STYLE, IDEAL FOR COMBO WITH RED RICERoasted and milled in small batches.Flavour-lock sealed packingGlass bottle for better storage","&nbsp;100% Spice powder as per ingredient list on label.Zero add-onsZero added flavouring agentsZero added food colourZero added preservatives&nbsp;"
Tamil Sambar Powder,Tamil Sambar Masala,"Masala made with first quality ingredients.SAMBAR IN TAMILNADU STYLE , IDEALCOMBO WITH IDLY &amp; DOSARoasted and milled in small batches.Flavour-lock sealed packingGlass bottle for better storage&nbsp;","&nbsp;100% Spice powder as per ingredient list on label.Zero add-onsZero added flavouring agentsZero added food colourZero added preservatives&nbsp;"
Kannada Sambar Powder,Kannada Sambar Masala,"Masala made with first quality ingredients.Sambar in KARNATAKA STYLE, IDEAL for combo with white riceRoasted and milled in small batches.Flavour-lock sealed packingGlass bottle for better storage","&nbsp;100% Spice powder as per ingredient list on label.Zero add-onsZero added flavouring agentsZero added food colourZero added preservatives&nbsp;"
